,osm_way_id,osm_start_node_id,osm_end_node_id
49375,375602914,5482213965,42808558
49376,219968409,5482213970,42808558
49377,141128767,5487852160,5487852150
49378,232490501,42754889,42752858
49863,232490501,42754884,42752858
50279,420350708,5272423103,4202891651
50296,25347776,42874076,42810501
50455,561998048,42891703,42928903
50474,219624524,42912141,42928903
50733,220470240,6331785994,42928903
50753,538232589,42484421,42484422
50755,420383517,4203164856,4203179793
51399,222271702,42512807,4203179793
51955,420322272,42517630,4202608941
52545,420322270,4202608942,4202608941
53140,352353875,3581242896,3581242895
53188,5677663,598290960,42465657
53762,222266016,42465660,42465657
54472,47652594,42526268,42526264
54475,379499852,42471374,42526264
54483,379499852,5487849555,42526264
54512,440122879,42436806,42442728
55175,440122879,42423116,42442728
55865,534878088,5186208519,5186208518
56346,420627373,4205909316,4205909317
56407,32939209,370898177,370913767
57151,219973678,42827182,42883602
57307,219973678,42883606,42883602
57494,223482256,5482271969,5482271965
57863,219606164,42846236,42827792
57867,219606164,42814405,42827792
57883,46838286,42487866,42471902
57890,40418152,42471906,42471902
57892,676625056,6336148035,6336148041
58144,168289465,277787476,6336148041
58363,665142186,42869092,5155267053
58386,420332132,42867157,5488484893
58598,420332132,4202707857,5488484893
58750,177127299,42500008,42500009
58917,221605487,42503956,42500009
58919,221605487,42469362,42500009
58920,182690752,42787210,42787215
58943,182690751,493076948,42787215
59031,420304048,42889978,4202418665
59314,420304049,42889984,4202418665
59535,5681503,42521908,42506150
59541,5681503,42492731,42506150
59544,221697433,42511312,42511320
59808,221697433,42495652,42511320
60294,5696463,42732863,3659131645
60305,198924605,42480120,42473961
60972,198924605,42484186,42473961
61693,68665294,42964478,42978122
61695,278618232,42458663,2829585701
62403,32134988,470073501,42821064
63132,624521030,5481854379,42520569
63809,624521030,42474162,42520569
64307,221689130,5481854377,42520569
64381,275267226,5490139498,43008035
64400,275267226,5490139504,43008035
64468,196117023,42437316,42439730
64589,196117023,42432218,42439730
64661,524563600,42876764,42861190
64717,276327854,42815790,42861190
64732,524563600,42818567,42861190
64806,68325100,277782181,1369783099
65550,242206754,42865973,42929299
65902,51864970,661821949,42929299
66535,667678037,5137382097,5137382090
66767,5681864,42465948,598321852
66768,46849775,598321849,598321852
67301,566446001,42873680,42853052
67321,566446001,42873690,42853052
67353,125982878,42867122,42826203
67436,125982878,42878790,42826203
67504,420297739,1064257414,4202356629
67761,198924601,42843678,42843682
68143,198924601,42843686,42843682
68602,496989959,42421941,42454600
69124,384178817,42453902,42454600
69468,497256082,42824124,4888453869
70044,497258676,42849730,4888453869
70536,420351504,4202895721,4202895720
71240,420351494,42508782,4202895720
71964,46139799,5891894642,5482230599
72024,46139799,42896784,5482230599
72644,546238177,42865022,42926769
72758,546238177,42906624,42926769
72798,5679552,5488806897,42475851
72895,420565434,4205158930,42475851
73429,156867574,1691133677,42475851
73622,420565405,5488806893,42475851
73971,551646029,42432992,42432990
74092,569361666,5475725288,42432990
74707,5678724,42502142,42492513
74708,5677975,42469036,42492513
74710,46931930,599041383,599041290
74729,221596661,42520035,42532899
74770,221596661,42500121,42532899
74786,379499854,42519053,42534388
74951,379499854,42487712,42534388
75249,46786499,597826136,597826118
75524,497256597,42497855,597826118
75877,497256596,597728040,597826118
76282,232492267,2408369222,2408369218
76376,465675845,2408369215,2408369218
76662,681050197,2700932410,5146436900
76878,681050081,5146436856,5146436900
77122,288939272,2924921641,4203246064
77693,5702626,42824387,42831677
77796,5707613,42888079,42831677
77921,461075411,42814513,3325564443
78199,221694871,42844974,3325564443
78338,420566517,4205169121,4205169120
78373,275389334,42524122,42469879
78376,5712112,2523812078,42963406
78378,183103329,42719908,5487889702
78413,477151469,42446584,42430942
78432,194923763,42421828,42430942
78807,25167210,42449038,42430942
78845,361068421,42460944,42473461
78846,226938478,42473465,42473461
78853,226938478,42473458,42473461
78880,244751654,42748877,42763390
79290,5698793,42770885,42763390
79331,5697316,42745889,42745890
79393,420875944,42761249,42745890
79983,513746772,5490804389,6444746574
79994,420562258,4205119699,42868785
80196,46140404,5155424212,42868785
80537,420562253,5471815254,42868785
80785,5681343,42531574,42486629
80786,222252253,42501091,42524837
80816,46854620,5488559813,42524837
81348,698305293,42468172,42524837
81891,222252253,42519482,42524837
81906,219967681,5481959136,5481959128
81908,224082344,42734411,42745658
81922,224082344,42745662,42745658
81951,351201897,42843373,3569402179
82303,221192519,42889756,3569402179
82516,552161490,42756720,5487855665
82986,552161490,42745153,5487855665
83357,379500311,42490884,1817770871
83359,379500311,42490885,1817770871
83411,219964428,6490034115,42460660
83784,219964428,42470090,42460660
83884,275118353,42828203,42828205
84354,5680415,42486137,42484279
84356,545482209,5488802873,42484279
84358,5699485,42781249,42747741
84364,68665377,42994849,5490189968
84425,68665377,4205598190,5490189968
84485,46594492,42757152,5175630918
84745,533493571,5175630917,5175630918
85007,5705836,42861697,2693872593
85009,627201039,2693873265,2693872593
85024,420548285,4209317806,4209317805
85055,420565403,4205158942,42489130
85446,46137491,42489127,42489130
85644,551976413,42517211,42489130
85809,222252253,42492490,42506007
85813,222252253,42521853,42506007
86081,180330674,42822370,42788115
86125,180330674,42822364,42788115
86157,274869388,42788107,42788115
86179,275390351,42484862,42484865
86249,46777162,42510898,42484865
86293,5676110,42472693,42472696
86599,46334599,42440323,42440325
87110,5671472,42446925,42440325
87641,229699045,2382606996,2382606999
88297,5682227,42535407,42518892
88298,420317578,6184096323,6184096326
88299,68665335,5490639645,5490639651
88302,68665335,42971537,5490639651
88304,46863760,42486316,42478096
88352,46863760,42528857,42478096
88498,46835342,42478102,42478096
88534,589096642,2408448891,2409018676
88683,678190363,277787658,277787648
88754,5703543,42847316,42847319
88761,500185641,42858116,42832575
88904,500185641,42843257,42858113
89008,42786504,42471797,1241183779
89009,548193561,42731026,1396352602
89753,548193561,42731033,1396352602
90495,5710641,42788761,42881170
90597,219598034,42867208,42891460
90691,420340974,597389820,42882667
90816,421091021,4209199427,42500157
91539,5678543,1942054513,42500157
91793,221449129,42530773,42500157
92483,222788216,43019494,43002442
92486,222788216,42958556,43002442
92489,38093341,2897314809,42968617
92490,38093341,42969007,42968617
92492,581479631,5528117894,42820546
92496,219959094,5528117889,42820546
92502,220636036,42820543,42820546
92511,222788206,42954422,42954424
